CFV COINFUND  —  SAM MASTER LIST  |  270-Day Battle Plan (Data Quality Resolved),,,,,,,,,,,,,
"2,144 firms   |   P1: 410   |   P2: 1,339   |   P3: 395   |   Phones: all resolved   |   Est. capital at 20% conversion: $5.97B",,,,,,,,,,,,,
Rank,Priority,Firm Name,City,State,Zip,Phone,AUM,AUM Tier,Est. Commit,Territory,Status,Notes,Address
33,P1,DREAMIT VENTURES,ESTERO,FL,33928,(267) 694-0425,"$141,686,180",$100-150M,"$4,959,016",Associate 1,,,20791 THREE OAKS PKWY
34,P1,"GRAYHAWK CAPITAL, LLC",SCOTTSDALE,AZ,85251,(602) 956-8700,"$141,465,974",$100-150M,"$4,951,309",Associate 1,,,"4250 N. DRINKWATER BLVD., SUITE 300"
35,P1,"UTXO MANAGEMENT GP, LLC",NASHVILLE,TN,37219,(618) 237-2696,"$140,144,173",$100-150M,"$4,905,046",Associate 1,,,501 UNION ST STE 545
36,P1,ALTURA CAPITAL,CORAL GABLES,FL,33134,(786) 501-8850,"$139,689,000",$100-150M,"$4,889,115",Associate 1,,,355 ALHAMBRA CIRCLE
37,P1,BLUEGRASS CAPITAL PARTNERS LP,PALM BEACH,FL,33480,(212) 218-3580,"$139,285,024",$100-150M,"$4,874,976",Associate 1,,,440 ROYAL PALM WAY
38,P1,"FUNDVIEWS CAPITAL, LLC",DORAL,FL,33166,(305) 846-9175,"$139,059,990",$100-150M,"$4,867,100",Associate 1,,,3785 NW 82ND AVE
39,P1,LATITUDE 37 VENTURES LLC,HOUSTON,TX,77007,(713) 818-5539,"$138,939,719",$100-150M,"$4,862,890",Associate 1,,,1522 KNOX STREET
40,P1,"SAGE EQUITY PARTNERS, LP",HOUSTON,TX,77098,(713) 221-3751,"$137,954,594",$100-150M,"$4,828,411",Associate 1,,,3737 BUFFALO SPEEDWAY
41,P1,"MGC VENTURE PARTNERS 2018 GP, LLC",NASHVILLE,TN,37215,(615) 843-9100,"$135,536,165",$100-150M,"$4,743,766",Associate 1,,,3835 CLEGHORN AVENUE
42,P1,PAN RESOURCES MANAGEMENT LLC,HOUSTON,TX,77056,(281) 904-5234,"$135,491,588",$100-150M,"$4,742,206",Associate 1,,,"3040 POST OAK BLVD,"
43,P1,ASPECT ACQUISITION MANAGEMENT,DALLAS,TX,75205,(214) 871-8635,"$135,137,954",$100-150M,"$4,729,828",Associate 1,,,3879 MAPLE AVE
44,P1,DALFORT CAPITAL PARTNERS,DALLAS,TX,75219,(214) 396-8880,"$134,462,891",$100-150M,"$4,706,201",Associate 1,,,3963 MAPLE AVENUE
45,P1,"SEVEN POINT MANAGEMENT, INC.",HIALEAH,FL,33018,(203) 604-0323,"$131,564,000",$100-150M,"$4,604,740",Associate 1,,,4021 WEST 108TH STREET
46,P1,"PC OPPORTUNITY FUND ASSET MGR, LLC",MIAMI,FL,33131,(786) 539-4999,"$130,108,040",$100-150M,"$4,553,781",Associate 1,,,777 BRICKELL AVENUE
47,P1,PORTAL VENTURES,AUSTIN,TX,78754,(410) 303-0329,"$129,834,243",$100-150M,"$4,544,199",Associate 1,,,1606 HEADWAY CIR
48,P1,LEVEL VENTURES MANAGEMENT LLC,SUNNY ISLES BEACH,FL,33160,(646) 522-7183,"$129,677,080",$100-150M,"$4,538,698",Associate 1,,,16690 COLLINS AVENUE
49,P1,"WM CAPITAL PARTNERS, LLC",AUSTIN,TX,78701,(212) 584-6170,"$128,624,191",$100-150M,"$4,501,847",Associate 1,,,500 WEST 5TH STREET
50,P1,"HEWES FUND MANAGEMENT, LLC",DALLAS,TX,75225,(214) 647-6400,"$128,324,582",$100-150M,"$4,491,360",Associate 1,,,5956 SHERRY LANE
51,P1,"SEVEN HILLS CAPITAL, LLC",NASHVILLE,TN,37203,(615) 523-7586,"$126,286,436",$100-150M,"$4,420,025",Associate 1,,,827 19TH AVENUE SOUTH
52,P1,"IN-DEPTH PARTNERS, LLC",MIAMI BEACH,FL,33139,(786) 688-4347,"$124,940,024",$100-150M,"$4,372,901",Associate 1,,,929 ALTON ROAD
53,P1,"TANDEM PARTNERS GROUP, LLC",DRAPER,UT,84020,(801) 884-7317,"$124,727,610",$100-150M,"$4,365,466",Associate 1,,,12459 S 300 E
54,P1,"FF CAPITAL PARTNERS, LLC",TAMPA,FL,33607,(813) 775-6990,"$124,296,712",$100-150M,"$4,350,385",Associate 1,,,1311 N. WESTSHORE BOULEVARD
55,P1,"SWISS SELECT ADVISORS, LLC",DALLAS,TX,75219,(212) 796-6577,"$123,851,303",$100-150M,"$4,334,796",Associate 1,,,TWO TURTLE CREEK BUILDING
56,P1,SIP CAPITAL,PORTSMOUTH,NH,3801,(603) 825-3150,"$123,284,875",$100-150M,"$4,314,971",Associate 1,,,155 FLEET STREET
57,P1,PEREA CAPITAL,HOUSTON,TX,77057,(832) 339-7449,"$123,000,000",$100-150M,"$4,305,000",Associate 1,,,5718 WESTHEIMER RD.
58,P1,"JUNCTION ENERGY CAPITAL, LLC",HOUSTON,TX,77027,(713) 449-3992,"$122,676,696",$100-150M,"$4,293,684",Associate 1,,,3415 MERCER STREET
59,P1,"PATH CAPITAL PARTNERS, LLC",MIAMI,FL,33131,(310) 388-7011,"$122,380,328",$100-150M,"$4,283,311",Associate 1,,,"801 BRICKELL AVE, SUITE 2500"
60,P1,"BLUE ORCA, LLC",AUSTIN,TX,78704,(512) 934-4736,"$122,232,903",$100-150M,"$4,278,152",Associate 1,,,3601 SOUTH  CONGRESS AVE
61,P1,"LONGSHIP CAPITAL MANAGEMENT, LLC",SANDY,UT,84070,(310) 699-8107,"$122,091,837",$100-150M,"$4,273,214",Associate 1,,,10011 CENTENNIAL PARKWAY
62,P1,THE RUSHMERE PARTNERSHIP,NASHVILLE,TN,37215,(615) 562-3325,"$120,360,610",$100-150M,"$4,212,621",Associate 1,,,40 BURTON HILLS BLVD
63,P1,"CONGRUENT INVESTMENT PARTNERS, LLC",DALLAS,TX,75204,(214) 760-7411,"$120,275,800",$100-150M,"$4,209,653",Associate 1,,,3400 CARLISLE STREET
64,P1,"REFORMATION MANAGEMENT, LLC",MIAMI,FL,33127,(917) 971-8129,"$120,188,196",$100-150M,"$4,206,587",Associate 1,,,310 NW 26TH ST
65,P1,INFLECTION POINT ASSET MANAGEMENT LLC,MIAMI BEACH,FL,33139,(516) 445-5417,"$120,000,000",$100-150M,"$4,200,000",Associate 1,,,1680 MICHIGAN AVE
66,P1,"AEC HOLDINGS, L.P.",HOUSTON,TX,77098,(713) 328-1099,"$119,914,110",$100-150M,"$4,196,994",Associate 1,,,2701 KIRBY DR
67,P1,EHRENBERG CHESLER INVESTMENT ADVISORS LLC,SAN ANTONIO,TX,78209,(210) 472-1103,"$119,745,446",$100-150M,"$4,191,091",Associate 1,,,7373 BROADWAY
68,P1,WAGNER CARBON MANAGEMENT LLC,LYME,NH,3768,(603) 208-2000,"$118,300,000",$100-150M,"$4,140,500",Associate 1,,,150 ORFORD ROAD
69,P1,HOLLOW TREE INVESTMENTS MANAGEMENT,SPANISH FORK,UT,84660,(203) 964-7559,"$118,211,665",$100-150M,"$4,137,408",Associate 1,,,2326 W 4000 S
70,P1,JUMPSTART HEALTH INVESTORS,NASHVILLE,TN,37203,(615) 480-9633,"$116,542,006",$100-150M,"$4,078,970",Associate 1,,,21 PLATFORM WAY S
71,P1,"TRELLUS MANAGEMENT COMPANY, LLC",DELRAY BEACH,FL,33445,(646) 561-2620,"$116,377,238",$100-150M,"$4,073,203",Associate 1,,,1615 S. CONGRESS AVENUE
72,P1,"ARETE ENERGY HOLDINGS, LLC",DALLAS,TX,75219,(469) 480-4147,"$116,102,169",$100-150M,"$4,063,576",Associate 1,,,4010 MAPLE AVE
73,P1,"INNOVA MEMPHIS, INC.",MEMPHIS,TN,38103,(901) 460-7638,"$115,817,690",$100-150M,"$4,053,619",Associate 1,,,150 PEABODY
74,P1,"MISSION TRAIL CAPITAL MANAGEMENT, LLC",AUSTIN,TX,78746,(512) 537-8677,"$115,438,667",$100-150M,"$4,040,353",Associate 1,,,3103 BEE CAVES RD.
75,P1,LVNA MANAGEMENT LLC,CORAL GABLES,FL,33133,(503) 863-8029,"$115,431,983",$100-150M,"$4,040,119",Associate 1,,,237 SOUTH DIXIE HIGHWAY
76,P1,"FIFTH LANE CAPITAL, LP",AUSTIN,TX,78705,(512) 886-3101,"$115,180,419",$100-150M,"$4,031,315",Associate 1,,,3300 NORTH INTERSTATE HIGHWAY 35
77,P1,"ROSEROCK CAPITAL MANAGEMENT, LP",BRYAN,TX,77807,(979) 823-8525,"$114,943,743",$100-150M,"$4,023,031",Associate 1,,,8872 HSC PARKWAY
78,P1,"BULL & BEAR, LP",HOUSTON,TX,77002,(847) 881-6435,"$114,517,136",$100-150M,"$4,008,100",Associate 1,,,700 MILAM STREET
79,P1,BLUE FIELD CAPITAL,MIDVALE,UT,84047,(801) 244-1529,"$114,364,851",$100-150M,"$4,002,770",Associate 1,,,"7070 UNION PARK AVE, SUITE 200"
80,P1,"EXPLORE CAPITAL MANAGEMENT, LLC",DALLAS,TX,75225,(424) 355-9191,"$114,177,533",$100-150M,"$3,996,214",Associate 1,,,5960 BERKSHIRE LANE
81,P1,"FIRSTWAVE CAPITAL MANAGEMENT, LLC",MIAMI,FL,33130,(786) 348-2332,"$114,000,000",$100-150M,"$3,990,000",Associate 1,,,80 SW 8TH STREET
82,P1,ECHELON MANAGEMENT,EVANSTON,WY,82930,(617) 285-0330,"$113,783,929",$100-150M,"$3,982,438",Associate 1,,,221 10TH STREET
83,P1,"THE B GROUP, INC.",DALLAS,TX,75201,469-436-3669 EXT 501,"$113,287,222",$100-150M,"$3,965,053",Associate 1,,,2900 MCKINNON STREET
84,P1,VERADACE CAPITAL MANAGEMENT,DALLAS,TX,75219,(913) 908-4943,"$113,235,495",$100-150M,"$3,963,242",Associate 1,,,3889 MAPLE AVE
85,P1,N.L.C LLC,BOCA RATON,FL,33431,(561) 232-3449,"$112,813,183",$100-150M,"$3,948,461",Associate 1,,,2500 NORTH MILITARY TRAIL
86,P1,NEXT COAST LEGACY,AUSTIN,TX,78701,(512) 370-2242,"$112,479,394",$100-150M,"$3,936,779",Associate 1,,,1204 NUECES STREET
87,P1,CHIMNEY ROCK EQUITY PARTNERS,AUSTIN,TX,78738,(512) 553-5700,"$112,458,856",$100-150M,"$3,936,060",Associate 1,,,13301 GALLERIA CIRCLE
88,P1,"ASYMMETRIC TECHNOLOGIES, LLC",MIAMI,FL,33131,(347) 517-0404,"$111,986,205",$100-150M,"$3,919,517",Associate 1,,,1395 BRICKELL AVENUE
89,P1,"FUTALEUFU MANAGER, LLC",JACKSON,WY,83001,(408) 348-0756,"$111,886,598",$100-150M,"$3,916,031",Associate 1,,,7470 RYEGRASS ROAD
90,P1,"SKYCATCHER, LLC",AUSTIN,TX,78701,(512) 484-6192,"$111,320,562",$100-150M,"$3,896,220",Associate 1,,,500 W 2ND STREET
91,P1,"GPI FUND MANAGEMENT, LLC",MISSOURI CITY,TX,77459,(713) 776-1000,"$111,000,000",$100-150M,"$3,885,000",Associate 1,,,4622 RIVERSTONE BLVD
92,P1,BANKLESS VENTURES LLC,SHERIDAN,WY,82801,(720) 663-0558,"$110,155,210",$100-150M,"$3,855,432",Associate 1,,,30 N GOULD ST
93,P1,"FRAZIER GROUP MANAGEMENT, LLC",LEHI,UT,84043-6695,(801) 404-4492,"$109,849,213",$100-150M,"$3,844,722",Associate 1,,,3333 N. DIGITAL DRIVE
94,P1,"GLYPTIS MANAGEMENT DE, LLC",OREM,UT,84097,(435) 315-3070,"$109,379,484",$100-150M,"$3,828,282",Associate 1,,,1444 E 820 N
95,P1,"IFLY MANAGEMENT, LLC",AUSTIN,TX,78731,(215) 527-2547,"$109,285,255",$100-150M,"$3,824,984",Associate 1,,,5900 BALCONES DRIVE
96,P1,THURSDAY VENTURES MANAGEMENT LLC,BRANDON,FL,33511,(401) 932-1636,"$109,070,778",$100-150M,"$3,817,477",Associate 1,,,"1032 E BRANDON BLVD, #9867"
97,P1,AMERISOURCE FUND MANAGEMENT,HOUSTON,TX,77040,(713) 863-8300,"$108,811,698",$100-150M,"$3,808,409",Associate 1,,,7225 LANGTRY STREET
98,P1,"HALL CAPITAL MANAGEMENT COMPANY, LLC",DALLAS,TX,75225,(469) 287-6879,"$108,606,254",$100-150M,"$3,801,219",Associate 1,,,8235 DOUGLAS AVENUE
99,P1,"CLOVIS POINT CAPITAL, LLC",HOUSTON,TX,77056,(713) 966-6731,"$108,429,030",$100-150M,"$3,795,016",Associate 1,,,1980 POST OAK BLVD
100,P1,"ROLLINS CAPITAL MANAGEMENT, LLC",AUSTIN,TX,78701,(737) 224-3260,"$108,399,592",$100-150M,"$3,793,986",Associate 1,,,"600 CONGRESS ST, 14TH FLOOR"
101,P1,"THE LEGALTECH FUND MANAGEMENT CO., L.L.C.",FORT LAUDERDALE,FL,33301,(310) 574-2393,"$107,766,103",$100-150M,"$3,771,814",Associate 1,,,501 E LAS OLAS BLVD
102,P1,DRAWDOWN FUND,PARK CITY,UT,84060,(435) 565-1269,"$107,070,909",$100-150M,"$3,747,482",Associate 1,,,1918 PROSPECTOR AVE
